age_yr,CO2_ppm
14857.53,233.17
14869.18,232.22
14880.66,227.85
14892.46,230.63
14904.21,228.72
14915.91,228.36
14929.02,228.47
14953.66,228.89
14976.48,229.79
14987.26,227.65
15011.48,228.37
15034.78,225.38
15072.53,228.99
15095.81,234.47
15133.53,229.67
15156.52,228.81
15181.11,227.84
15218.88,230.18
15243.44,228.27
15280.74,225.77
15320.94,227.64
15345.24,228.92
15382.85,225.39
15410.08,224.74
15462.93,223.27
15546.4,223.53
15649.43,222.76
15704.79,222.16
15767.68,224.86
15844.95,222.36
15920.25,223.51
15936.52,223.77
15995.49,223.72
15998.98,224.41
16014.67,222.39
16033.78,224.48
16083,224.24
16114.14,222.41
16151.21,224.86
16166.71,226.19
16187.46,221.49
16208.71,227.32
16222.96,223.24
16240.56,220.49
16260.73,218.56
16278.74,214.22
16296.96,212.84
16317.43,214.6
16337.25,212.43
16354.23,214.83
16374.89,211.21
16391.89,209.51
16410.71,212.95
16431.32,211.79
16458.38,217.19
16472.03,213.94
16509.93,207.95
16553.51,208.65
16590.01,208.46
16655.88,213.15
16733.53,210.25
16797.55,205.53
16869.32,205.19
16928.83,202.93
16994.77,204.32
17091.85,202.1
17163.7,198.63
17236.25,198.29
17287.9,195.88
17311.87,194.65
17360.5,190.5
17385.3,193.02
17410.03,191.89
17434.97,190.76
17460.99,193
17485.29,191.48
17510.87,191.59
17534.59,192.37
17561.46,192.62
17586.25,196.96
17612,195.79
17637.88,193.21
17665.06,194.38
17691.21,191.52
17717.05,189.52
17743.75,190.41
17769.71,191.7
17797.57,187.25
17825.43,191.21
17854.6,189.52
17881,190.26
17907.16,191.72
17935.99,188.54
17965.83,188.66
17992.04,188.96
18024.45,187.79
18050.09,187.73
18081.6,188.64
18110.63,188.59
18139.76,184.88
18173.16,189.01
18201.79,185.65
18232.18,188.88
18264.68,188.52
18295.81,189.03
18324.39,187.12
18360.35,188.73
18391.16,188.21
18422.43,188.47
18457.83,187.45
18486.59,187.09
18519.99,187.67
18582.94,188.57
18677.4,193.9
18747.05,191.27
18803.64,192.97
18835.15,188.44
18866.91,188.5
18993.82,192.71
19152.79,191.09
19282.16,191.58
19442.73,191.52
19568.15,188.95
19629.49,191.42
19791.19,193.6
19883.88,196.06
20018.7,193.72
20213.31,190.47
20407.6,189.99
20536.8,193.93
20666.49,187.76
20828.39,192.66
20964.43,190.87
21067.69,188.4
21212.7,190.05
21345.18,187.24
21562.85,185.23
21790.59,187.96
21913.63,190.78
22055.59,187.38
22230.89,191.27
22292.2,187.22
22347.6,187.02
22550.1,184.68
22604.1,185.21
22650.8,188.49
22749.3,190.01
22833.6,186.13
22994,189.4
23013.8,190.53
23107.3,190.08
23185,188.6
23276.7,197.67
23358.4,193.53
23445.2,186.78
23600.5,187.99
23873.8,183.13
24077.7,184.68
24269.8,186.73
24643.6,180.57
25163.6,180.69
25351.1,182.66
25543.6,183.38
25786,186.54
26016,184.52
26254.5,184.57
26315,183.77
26460.7,186.01
26537.1,185.51
26703.7,185.44
26857.8,186.43
26954.9,188.08
27042,187.39
27084.8,186.27
27170.2,194.93
27280.1,190.06
27441.9,191.95
27502.8,191.23
27549.7,191.53
27586.4,191.95
27661.3,191.46
27687,192.71
27714.1,190.61
27718.6,189.3
27820.7,187.59
27866.4,190.58
27885,189.28
27927.1,188.99
27973.2,189.29
28097.3,189.96
28214.1,191.82
28271.6,191.59
28369.7,192.63
28413.9,189.16
28426.9,189.65
28577.4,193.1
28626.4,192.82
28724.3,193.8
28841.9,193.89
28902.7,192.69
28948.6,193.26
29008.9,192.87
29150.7,192.26
29205.3,188.1
29249.6,192.39
29323.9,191.01
29366.1,189.83
29410.2,189.21
29609.2,189.24
29681.2,189.77
29742.8,191.28
29837.8,190.97
29952.1,191.38
29999,191.57
30101.5,188.25
30181.7,188.48
30277.9,186.52
30312.7,185.99
30400.5,184.3
30528.8,182.94
30713,187.14
30775.7,190.33
31105.2,188
31356.4,188.48
31524.1,189.95
31792.1,193.71
31818.4,192.93
31933.9,192.51
32026.9,193.33
32079.6,193.91
32147.5,196.42
32150.6,196.91
32307.9,192.47
32361.2,195.25
32434.8,194.11
32511.1,194.61
32594.6,194.43
32677.8,195.08
32714.1,195.94
32813.1,199.3
32880.9,196.7
33009,196.33
33148.3,197.65
33417.5,196.9
33491.4,197.13
33555.3,197.8
33758.1,200.03
33841,195.63
33885.7,195.27
33907.5,194.46
33925.9,194.47
33957,196.47
33991.5,195.41
34064.2,195.93
34190.3,194.89
34250.8,195.79
34312.8,196.27
34334.4,196.2
34556.9,199.65
34602.6,199.49
34620,200.29
34647.8,198.89
34710.6,197.16
34825.6,202.8
34866.8,203.09
35089.6,198.78
35165.8,203.6
35281.7,205.38
35337,204.47
35359.4,203.62
35383,201.36
35445.8,200.3
35497.1,201.06
35508.5,202.04
35530.7,201.89
35568,201.83
35672.5,201.81
35701.6,200.5
35854.6,203.29
35948.3,198.8
36086.5,204.12
36173.1,201.78
36261.8,200.09
36506.3,198.96
36591.8,205.1
36669.6,203.77
36712.8,203.75
36820.2,202.76
36939.8,203.51
37023.4,206.36
37118.6,210.16
37143.2,207.35
37296.5,208.25
37302,209.66
37338.1,206.59
37431,212.51
37461.3,209.84
37618.6,214.3
37647.5,212.14
37777.2,212.09
37895,214.21
38000.3,211.21
38088.5,214.36
38165.6,208.34
38192.4,206.52
38284.2,207.41
38359.2,208
38412.8,210.79
38472.9,207.23
38533.2,210.08
38573.6,208.23
38621.8,204.79
38670.8,204.46
38723.4,206.54
38812.6,206.09
38874.7,205.65
38955.6,205.99
38976.8,202.34
39053.6,204.28
39120.5,207.32
39265.7,208.69
39303.2,209.5
39319.9,209.33
39339.8,207.87
39379.4,204.78
39402.9,191.53
39454.4,198.14
39515.4,200.4
39621,195.7
39709.2,196.67
39757.1,193.58
39885,193.87
39900.5,197.55
40042.7,192.6
40112.1,193.08
40145.3,193.69
40308.4,197.9
40485.95,201.32
40553.44,201.48
40754.3,200.47
40907.39,200.97
41167.9,201.53
41303.59,204.19
41605.97,205.49
41759.21,201.12
41900.69,199.89
42315.82,200.9
42628.3,204.83
42849.87,206.35
42968.08,204.26
43171.89,203.16
43350.66,201.66
43515.82,204.22
43661.16,203.18
43809.01,201.69
44095.2,204.31
44204.45,202
44350.47,206.22
44490.5,204.83
44655.54,212.29
44816.01,210.44
44996.16,211.49
45142.02,207.95
45280.39,213.92
45460.32,214.5
45696.06,217.51
45877.11,222.72
46057.33,221.77
46181.26,219.25
46308.55,218.35
46635.9,216.42
46746.44,214.18
46887.94,210.84
47086.28,210.27
47314.98,207.6
47524.36,204.26
47710.39,203.79
47943.75,205.66
48223.18,206.18
48427.86,200.98
48987.95,201.58
49302.98,200.12
49462.66,204.06
49728.32,203.87
50006.51,204.38
50220.55,206.74
50527.41,207.41
51029.17,207.64
51431.45,211.57
51779.53,215.08
52086.82,213.82
52384.78,219.08
52573.68,220.72
52800.74,221.15
53108.25,223.72
53400.45,223.26
53806.25,221.14
54156.6,220.37
54387.13,217.96
54694.61,213.89
55014.49,216.86
55293.46,208.19
55553.13,214.78
55909.54,210.27
56237.13,207.67
56503.58,212.44
57210.94,215.7
57476.27,217.38
57843.72,223.72
58217.01,224.35
58433.32,223.15
59105.07,231.29
59380.41,226.35
59733.47,223.45
60109.88,216.66
60373.06,212.87
60516.63,217.25
60817.62,213.78
61060.88,207.95
61234.84,210.57
61554.11,210.9
61900.72,206.38
62552.01,202.56
62774.57,202.71
62960.9,200.15
63555.79,197.4
63896.88,197.24
64113.78,199.73
64657.29,203.7
64867.42,201.67
65046.72,199.17
65546.45,208.98
65764.51,198.17
65937.23,200.59
66439.31,204.39
66959.71,207.21
67314.59,201.14
67729.68,203.76
68146.19,200.17
68619.99,203.43
69081.53,205.42
69592.02,211.26
70052.16,215.55
70427.26,220.33
70928.87,225.17
71279.17,235.02
71693.65,237.56
72092.81,239.46
72490.15,232.79
72866.04,232.33
73219.32,230.89
73750.96,232.74
74221.48,231.33
74525.65,241.24
75067.95,243.27
75545.13,249.52
75850.65,249.94
76247.47,239.34
76696.74,238.01
77056.48,231.68
77615.92,224.92
78080.75,226.65
78507.95,224.14
78969.54,227.3
79410.36,229.26
79877.76,234.74
80330.36,230.6
80721.79,233.92
81206.94,230.33
81711.43,234.13
82068.79,238.89
82526.72,240.87
82988.26,246.32
83554.11,247.1
83940.9,250.79
84357.44,243.16
84936.77,238.42
85367.47,234.69
85890.69,228.76
86498.32,223.38
87027.64,221.06
87581.18,223.63
88136.18,217.8
88701.05,223.99
89244.72,227.38
89696.26,228.88
90317.29,229.74
90834.02,231.56
91445.03,231.12
91949.74,233.74
92667.82,232.46
93424.71,235.16
93823.21,238.21
94568.55,242.41
95234.11,242.91
95921.48,246.2
96474.88,245.76
97270.89,242.35
97927.46,239.86
98583.72,243.18
99361.42,242.99
100076.85,245.63
100543.18,247.87
101325.68,244.76
101971.89,240.07
102764.78,237.07
103308.74,240.68
104274.33,247.76
104331.23,238.88
104966.45,242.36
105507.15,248.78
105989.87,257.58
106256.38,241.4
106368.25,244.83
106974.82,240.34
108401.91,236.43
109129.42,244.44
109839.97,244.13
110555.36,246.69
111876.8,257.93
112636.06,256.79
112941.73,263.12
113119.27,264.75
113678.64,260.58
114250,267.9
114815.39,275.07
115446.67,276.96
115908.58,273.16
116475.58,273.63
117185.55,274.03
117619.36,274.98
118658.27,277.72
119242.52,267.74
119715.5,274.59
120144.12,268.73
120542.91,276.82
121426.02,279.48
121841.97,276.61
122100,278.25
122292.36,279
123013.95,279.16
123630.91,274.6
123959.48,275.87
124404.52,281.54
124817.45,275.52
125292.63,276.81
126013.7,275.15
126699.91,273.02
126962.03,274.93
127313.83,275.78
127503.55,276.88
128024.48,276.03
128172.67,280.72
128466.73,285.76
128878,271.08
129078.04,268.44
129655.64,260.61
130373.03,251.84
130818.36,250.84
131322.2,241.13
131976.24,232.28
132709.88,228
132931.96,224.63
133775.81,222.74
134522.28,212.43
136565.55,203.74
137763.42,199.18
138834.3,198.55
139949.97,192.75
142360.56,196.51
143651.3,194.59
144799.59,196.02
146108.24,193.59
148233.47,195.81
149466.15,201.78
150594.88,202.51
151444.85,202.35
153774.66,198.78
154889.13,196.3
156306.82,189.38
158666,189
159716,185.5
160155,187.5
163858,204.3
164334.65,196.5
166143,191.6
166784,190.1
167914.1,186.7
168745.5,183.8
169514.4,196.6
171939,197.8
174442,197.7
175833.35,196
176853,190.3
177533.93,189.4
177729.5,190.1
179873,207.7
181302,213.2
182196,217.7
183258,198.1
184371,199.7
186411,203.4
188437,210.7
189806.5,231.3
191254.5,231.4
191964.08,220.3
193074.5,218
195126.5,226.5
195799.5,220
197587.35,226.4
198327.45,241.2
198938,242.6
201752,250.9
202744.5,239.1
203842,247.6
205203.28,244.4
205575.76,231.9
205944.58,232.2
206359.94,228.6
206896.85,226.3
207240.3,229.4
207622.89,231.4
208108.78,238.1
208274.53,237.2
208821.57,230
209082.26,240.5
209445.04,242.2
209966.09,244.6
210175.17,243.9
210832.07,247.2
211058.47,252
211577.84,246.9
212078.75,239.5
212533.08,257.4
213330.35,243.4
214158.81,251.2
215080.75,241.4
215912.34,240.3
216306.15,242.6
216864.97,247.5
217415.64,251.7
217694.96,251.1
218200.79,245.3
219067.61,240.5
220935.62,214.1
221697.46,216.1
222539.58,207.1
223129.04,208.8
224271.51,205.6
226259.83,203.3
226849.84,215.7
227719.98,235.5
228439.42,234.5
228766.99,233.1
229572.05,224.5
231129.66,232.4
232191.77,233.9
232856.06,241.6
235990.86,245.2
236426.01,252.1
236850.8,241.4
237391.66,247.4
237905.53,243.1
238425.34,239.1
239008.26,245.6
239387.04,245.8
239738.66,247.4
240190.37,252.8
241333.05,259.7
241855.4,263.2
242685.46,279
243138.52,280.2
244121.77,263.7
244582.34,252.3
245057.01,249.9
245564,236.7
246188.81,230.4
246870.49,219.4
249099.87,214.7
251390.57,200.2
252132.26,213.9
252953.72,195.4
253756.68,196.7
254587.11,195.4
256298.66,199
257060.59,201.9
257908.07,204
259396.9,203.9
260894.24,209.6
261293.92,205.7
262054.58,208.9
262817.1,214.6
264583.76,228.1
266134.45,199.9
267007,211.7
268257.83,188.7
268995.5,187.2
269940.47,194.2
271036.04,198.8
272149.64,184.7
273165.83,190.4
274164.08,193.9
275154.64,194.1
276257.72,198.4
277443,193.2
278590.91,202.2
279619.05,204.5
280558.95,211
281400.74,215.3
282592.89,223.7
284434.68,231.3
285931.32,228
286609.96,226.4
287443.86,231.4
287820.05,230.4
288286.43,231
290184.5,234.9
290863.79,220.4
291562.87,217.1
292818.31,207.6
293650.74,206
294455.29,206.7
295364.23,212.7
296828.87,213.1
298704.62,217.1
299376.28,224.4
300115.87,231
301025.62,236.1
302084.19,239
303116,236
304100.92,240.2
305099.81,240.7
305778.15,250.2
306581.12,248.6
307463.27,244.8
308325.7,225.8
309423.73,227.8
310010.98,226.2
310776.1,233.2
311670.03,237.8
312593.43,239
313343.13,241.9
314051.85,251.6
314836.21,256.7
315657.52,257.1
316450.72,246.8
317149.87,272.6
317932.55,251.6
318852.6,245.2
319829.66,233.4
320916.34,255.8
321817.45,249.2
323383.35,257.2
324166.92,260.4
325007.41,260.3
325823,260.5
326591.09,266.2
327435.84,264
328086.81,266.1
328770.75,270.1
329414.29,271.9
330053.33,275.1
331293.55,265
332144.12,271.7
332798.62,272.6
333500.09,273.1
333997.56,282.4
334349.5,289.1
334543.89,288.4
335102.31,298.6
335707.51,278.1
336377.54,285.8
336867.82,278.6
337516.67,270.5
338213.5,255.7
338991.44,241.9
339983.89,239.6
340735.08,234.2
342791.56,250.1
343923.59,200.7
345000.85,205.2
346320.91,204.8
347544.81,211.9
349139.09,220.3
351676.35,221.1
353174.6,216.2
354412.98,209.4
355817.77,209.2
359010.38,193
360683.84,186.1
362567.6,185.8
365190.23,201.2
368065.9,206.3
371385.87,201.9
373457.62,199.9
375204.6,214.7
377034.88,224.6
378760.24,229.6
382931.49,227
384557.45,240
386283.71,239.1
387824.82,246.8
389410.21,245.8
392287.25,258.1
392977.15,259.5
394003.69,273.6
394906.1,260.7
398275.13,276.3
399926.16,277.1
400710.08,283.2
402140.92,283.1
402859.84,275.7
404313.3,276.5
405062.63,280.5
406542.8,279.6
407282.5,285.6
408818.72,284.5
409598.24,274.7
410453.8,282.6
411347.97,283.5
413258.65,274.9
414210.86,264.9
415179.59,271.6
415945.61,276.4
416425.32,271.7
417440.44,273.4
417956.78,271.8
418505.3,274.6
419575.78,273.7
420133.76,271.2
420701.76,273.8
421912.15,268.6
422532.65,266.4
423225.5,270.6
424507.75,267.7
425132.26,268.3
425740.91,270.8
426237.27,270
426621.56,265.4
427154.96,255.3
427941.4,252.1
428840.2,248.2
429178.36,242.5
431023.76,219.7
432179.31,227.2
433850.3,211.5
434379.07,207.6
435939.69,209.8
437485.42,207.5
439063.42,200.3
440659.58,201.7
442230.78,201.3
443844.65,202
445331.73,199.1
447219.18,201.1
448459.18,203.5
449571.04,208.1
450642.89,201.7
451747.28,201.2
452735.84,204.9
453775.64,201.9
454864.31,198.4
456001.61,193.3
457114.44,192.5
457745.13,199.1
458208.29,204.3
458794.01,203.3
459211.55,208.3
460252.21,202.4
461286.06,195.5
462414.1,190.7
463526.65,194.4
464599.47,199.9
465265.36,205.2
465601.73,210
466632.3,208.1
467706.64,204.4
468877.71,203.4
470040.13,205.5
470725.98,206.5
471200.79,215.5
471824.53,218.7
472263.07,229.2
472863.27,232.7
473217.82,243.7
473800.85,243.9
474092.36,245.6
474974.11,241.2
475925.2,233.1
476949.8,232.8
477941,236.6
478892.46,239.1
479402.95,236.5
479775.69,231.3
480328.3,220.8
480726.68,218.8
481662.96,223.8
482580.96,223.4
483395.38,227.3
484179.79,231.4
484936.18,231.4
485667.52,231.2
486398.67,233
487129.25,232.9
487848.07,231.3
488565.45,237.1
489302.09,242
489719.79,240.9
490026.29,252.8
490494.91,249.3
490733.95,242.6
491451.08,243.3
492154.55,246.7
492863.78,243.7
493593.11,239.7
494300.39,239.1
495024.13,238.3
495725.69,238.5
496444.07,237.6
497187.63,236.4
497965.98,236.5
498737.42,232.8
499526.78,230.6
500304.78,230.8
501083.96,228.2
501861.42,230.8
502637.64,231.2
503418.93,232
504177.19,232.2
504911.78,234.1
505684.24,233.9
506483.73,235.5
507312.4,236
508117.72,238.2
508940.98,237
509784.98,240.3
510652.33,233.4
511512.45,236.4
512363.78,235.2
513204.74,242
514033.12,238.2
514847.78,239.2
515650.78,241.5
516420.98,243
517154.98,247.2
517876.01,246.2
518600.46,245.5
519329.13,245.3
520073.36,247.7
520821.81,245.5
521574.47,243.5
523801.82,241.9
524570.87,236.8
525337,235.8
526107,233.7
526895.81,230.3
527698.69,227.8
528516.69,224.7
529403.43,222.7
530290.51,221.2
531201.38,220.3
532078.76,220.7
532592.53,214.5
532987.57,211.4
533554.37,204.4
533932.24,200
534668.18,195.1
535043.56,193.8
535695.05,190.5
536178.47,199.8
537334.47,199.4
538440.76,205
539513.82,206.4
540583.82,212.9
541653.82,211.2
542740.21,205
543844.87,203.6
544885.99,208.1
545864.91,210.3
546830.15,209.6
547806.68,209.7
548770.78,204.6
549720.11,202.5
550230.73,208.8
550582.55,213.6
551381.09,215.2
552111.09,219.9
552681.56,221.7
553020.92,222.3
553245.99,226.3
553619.39,222.1
553808.65,220.3
554479.62,223.6
555158.35,224.3
555842.35,226.7
556407.02,233.9
556923.29,241
557198.65,243
557385.05,249.1
557657.14,244
557838.21,250.5
558154.56,245.6
558306.02,240.4
558777.69,238.1
559316.01,234.5
559636.76,229.7
559872.62,230.2
560436.62,230.3
560965.6,228.3
561450.74,231.6
561888.07,231.9
562310.49,234.6
562655.6,234.1
563134.85,240.1
563535.74,242.3
563927.9,245.7
564310.56,245.8
564724.36,247.6
565134.3,251.4
565538.96,252.4
565895.64,252.6
566245.3,251.4
566588.64,253.7
566918.35,254.3
567239.49,253.9
567548.65,254.5
567884.89,253.2
568204.14,253.9
568534.24,252.8
568930.15,253
569314.59,250.2
569683.93,251.3
570067.25,250
570463.46,251.3
570862.13,251.8
571261.44,251.8
571633.36,249.6
571974.69,251.6
572315.5,250.3
572669.87,246.31
573053.52,247.66
573475.75,249.19
573913.02,248.72
574364.65,251.77
574806,251.86
575233.96,252.08
575654.53,248.86
576112.85,252.54
576599.1,252.9
577115.1,251.3
577653.85,251.34
578196.35,251.08
578742.35,249.06
579280.55,252.92
579833.12,251.47
580210.5,244.14
580401.78,243.81
580814,236.17
581118.65,230.26
581546.53,225.21
581928.3,219.41
582454.53,215.45
582836.3,209.88
583574.25,206.68
583958.8,210.64
586720.84,223.96
587171.85,225.99
587888.67,234.4
588279.35,238.78
588940.9,246.35
589425.35,250.2
590040.15,248.1
590488.8,243.56
591019.47,237.38
592383.47,225.68
592785.52,229.39
593561.25,233.16
594046.75,238.15
594863.81,237.98
595436.47,232.92
596221.56,221.22
596791.13,216.44
597803.61,216.27
598329.75,219.02
599218.22,225.97
599814.63,229.38
601255.15,232.45
602600.75,237.86
603949.15,239.14
605303.15,244.53
606625.91,248.48
607979.3,254.58
609247.3,259.22
610429.5,257.74
611551.01,257.82
611600.63,259.68
612761.97,258.14
613942.8,256.19
615140.6,252.75
616299.12,252.9
616356.6,252.73
617609.57,252.64
618953.75,248.29
620283.75,245.89
621651.45,243.53
622950.73,243.89
623054.95,239.19
624496.95,237.93
625397.92,235.02
626047.5,228.51
626969.43,215.71
627830.1,205.76
629139.62,199.52
629769.85,205.27
629866.1,200.78
631526.32,200.46
632356.94,196.5
634077.54,193.1
634881.14,195.95
635009.03,194.86
636521.56,194
637714.37,195.33
639418.27,188.85
640372.25,190.18
642074.6,191.38
642856.65,191.56
644300.83,195.31
645150.65,195.82
646376.95,189.89
647254.85,191.85
648612.42,193.48
649191.1,196.17
650348.46,189.25
650947.1,193.44
652104.26,187.27
652708.95,186.79
653730.25,192.87
654438.65,194.82
655524.35,200
656132.65,200.35
657181.09,192.93
657654.21,189.23
657722,190.88
658764.1,184.1
659293.82,187.38
659411.9,185.68
660463.55,188.43
661118.32,193.97
661215.9,191.59
662282.18,189.69
662796.61,193.91
662877.55,190.86
663937.52,191.02
664320.4,192.55
664408.09,187.77
665321.94,180.17
665836.52,180.54
666753.36,174.77
667409.86,173.71
668415.26,177.71
668915.54,180.67
669819.3,187.66
670296.32,191.51
